Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: item,Spreadsheet: nsl_id_gloss,Spreadsheet: norsk_video,Spreadsheet: picture_name,Spreadsheet: trial_number,Manipulation: Spreadsheet,Store: progress
21,1696327095667,03/10/2023 09:58:15,1696334295667,2,03/10/2023 13:58:15,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,4,trial,Screen 1,9lhd9n,1,response,no,8183,13680,13696,8183,13680,13696,1,8183,5513,0,,Rating Scale,Use,7,object-12,trial,magazine,dagbladet,Dagbladet.mp4,Magazine 1.jpg,4,,19
22,1696327095668,03/10/2023 09:58:15,1696334295668,2,03/10/2023 13:58:15,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,4,trial,Screen 1,9lhd9n,1,response,7,10348,13680,13696,10348,13680,13696,1,10348,3348,0,,Rating Scale,Similarity,9,object-14,trial,magazine,dagbladet,Dagbladet.mp4,Magazine 1.jpg,4,,20
23,1696327095982,03/10/2023 09:58:15,1696334295982,2,03/10/2023 13:58:15,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,5,trial,Screen 1,9lhd9n,1,info,Video start,142.56800035804193,129,142.56800035804193,142.56800035804193,129,142.56800035804193,1,142.56800035804193,0,0,,Video,Video,2,object-8,trial,doll,dukke,Dukke.mp4,Doll 1.jpg,5,,21
24,1696327105958,03/10/2023 09:58:25,1696334305958,2,03/10/2023 13:58:25,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,5,trial,Screen 1,9lhd9n,1,continue,,10331,10314,10331,10331,10314,10331,1,10331,0,0,,Click To Continue,Continue Button,10,object-24,trial,doll,dukke,Dukke.mp4,Doll 1.jpg,5,,22
25,1696327105971,03/10/2023 09:58:25,1696334305971,2,03/10/2023 13:58:25,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,5,trial,Screen 1,9lhd9n,1,response,7,4565,10314,10331,4565,10314,10331,1,4565,5766,0,,Rating Scale,Familiarity,5,object-10,trial,doll,dukke,Dukke.mp4,Doll 1.jpg,5,,23
26,1696327105973,03/10/2023 09:58:25,1696334305973,2,03/10/2023 13:58:25,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,5,trial,Screen 1,9lhd9n,1,response,yes,4032,10314,10331,4032,10314,10331,1,4032,6299,0,,Rating Scale,Use,7,object-12,trial,doll,dukke,Dukke.mp4,Doll 1.jpg,5,,24
27,1696327105975,03/10/2023 09:58:25,1696334305975,2,03/10/2023 13:58:25,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,5,trial,Screen 1,9lhd9n,1,response,6,7084,10314,10331,7084,10314,10331,1,7084,3247,0,,Rating Scale,Similarity,9,object-14,trial,doll,dukke,Dukke.mp4,Doll 1.jpg,5,,25
28,1696327106284,03/10/2023 09:58:26,1696334306284,2,03/10/2023 13:58:26,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,6,trial,Screen 1,9lhd9n,1,info,Video start,141,141,141,141,141,141,1,141,0,0,,Video,Video,2,object-8,trial,change,endring,Endring.mp4,Change 1.jpg,6,,26
29,1696327115728,03/10/2023 09:58:35,1696334315728,2,03/10/2023 13:58:35,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,6,trial,Screen 1,9lhd9n,1,continue,,9795.000000000015,9780,9795.000000000015,9795.000000000015,9780,9795.000000000015,1,9795.000000000015,0,0,,Click To Continue,Continue Button,10,object-24,trial,change,endring,Endring.mp4,Change 1.jpg,6,,27
30,1696327115730,03/10/2023 09:58:35,1696334315730,2,03/10/2023 13:58:35,142915,11,task-qcg3,,32000805,BLIND,9462565,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,Accepted,,0,familiarity ratings,27,Not on phone,Accepted,,list1,survey_list,6,trial,Screen 1,9lhd9n,1,response,7,3015,9780,9796,3015,9780,9796,1,3015,6781,0,,Rating Scale,Familiarity,5,object-10,trial,change,endring,Endring.mp4,Change 1.jpg,6,,28
