Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,Randomise questionnaire elements?,Question Key,Response
28,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,14_deaf-clubs-quantised,1
29,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,15_freq-of-use,Hver dag
30,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,15_freq-of-use-quantised,1
31,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,16_preferred-language,tegnspråk
32,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,16_preferred-language-quantised,1
33,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,16_preferred-language-text,
34,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,17_home-language,tegnspråk
35,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,18_formal-writing ,nei
36,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,18_formal-writing -quantised,2
37,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,response-1,nei
38,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,response-1-quantised,2
39,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,20_formal-reading,ja
40,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,20_formal-reading-quantised,1
41,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,21_informal-reading,ja
42,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,21_informal-reading-quantised,1
43,1.70E+12,25.10.2023 10:39,1.70E+12,2,25.10.2023 12:39,142915,16,questionnaire-zt1x,,32478295,nzv6tssh,9612157,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,5120x1440,3147x1273,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,No,END QUESTIONNAIRE,142248
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
